STATION_NUMBER,STATION_NAME,YEAR,MONTH,DAY,AIR_TEMPERATURE_MEAN_DB,AIR_TEMPERATURE_MAX_DB,AIR_TEMPERATURE_MIN_DB,WIND_PREVAILING_DIRECTION,WIND_MEAN_SPEED,WIND_MAX_DIRECTION,WIND_MAX_SPEED,RELATIVE_HUMIDITY_MEAN,SKY_COV_OKTES_MEAN,RELATIVE_HUMIDITY_MAX,RELATIVE_HUMIDITY_MIN,PRESSURE_MIN_SEA_LEVEL,PRESSURE_MIN_STATION_LEVEL,PRESSURE_MAX_STATION_LEVEL,PRESSURE_MAX_SEA_LEVEL,PRESSURE_MEAN_STATION_LEVEL,PRESSURE_MEAN_SEA_LEVEL
41030,Makkah,2018,1,1,24.4,30.8,21,N,1,36,6,66,2.3,82,50,1011,984,987,1014,985.8,1012.9
41030,Makkah,2018,1,2,23.5,32.8,18.6,NNE,2,2,8,46,1.8,60,29,1009.7,982.7,986.9,1014.3,985.3,1012.4
41030,Makkah,2018,1,3,24.8,33.9,18.6,WSW,3,19,14,45,0.8,63,28,1010.1,983,985.9,1012.9,984.5,1011.6
41030,Makkah,2018,1,4,24,30.6,20,NNW,2,24,7,62,3,74,45,1011.3,984.2,987.9,1014.8,985.9,1013.2
41030,Makkah,2018,1,5,22.9,30,17.8,N,2,2,6,55,0.3,75,33,1012.3,984.9,988.8,1016.4,986.7,1013.9
41030,Makkah,2018,1,6,22.6,31.6,17,N,2,33,6,53,0,86,27,1011.8,984.6,988,1015.1,986.4,1013.9
41030,Makkah,2018,1,7,24.5,34.8,17.5,N,1,3,6,47,0.2,69,23,1012.7,985.6,988.6,1016.3,987.2,1014.5
41030,Makkah,2018,1,8,25.7,34,20.4,WNW,2,27,10,31,0,37,23,1012.5,985.6,989.4,1016.9,987.4,1014.4
41030,Makkah,2018,1,9,25.2,33.9,19.8,N,3,36,8,31,0,38,24,1013.5,986.1,989.8,1016.6,987.7,1015
41030,Makkah,2018,1,10,25.9,34.8,19,NNW,2,33,6,35,0,70,18,1013.4,986.3,990.2,1017.4,988.1,1015.2
41030,Makkah,2018,1,11,26,35,18,CALM,0,24,6,41,0,64,23,1013.6,986.5,989.3,1016.5,987.7,1014.9
41030,Makkah,2018,1,12,25.8,35,19,SSW,2,24,12,53,0,80,25,1013.2,986.1,989.9,1017.1,987.9,1015
41030,Makkah,2018,1,13,25.8,33.6,18,CALM,0,18,6,65,0,90,36,1011.9,984.7,988.9,1016.1,986.9,1013.9
41030,Makkah,2018,1,14,26,34,20,SSW,1,20,8,60,0,89,36,1012,985.1,988,1014.9,986.6,1013.7
41030,Makkah,2018,1,15,25.6,35,20,N,3,32,12,51,0,67,26,1012.5,985.6,989.6,1016.7,987.6,1014.7
41030,Makkah,2018,1,16,25.2,34,18.6,SSW,2,20,10,54,0,80,33,1012.4,985.2,989,1015.9,986.8,1013.8
41030,Makkah,2018,1,17,24.8,33,18.6,WSW,1,21,12,56,0.6,75,32,1009.6,982.2,986.3,1013.2,984.3,1011.4
41030,Makkah,2018,1,18,24.6,31,19.2,WNW,1,27,7,63,0.9,84,41,1009.2,982.1,985.5,1012.6,984.2,1011.4
41030,Makkah,2018,1,19,23.8,30.1,19.2,N,1,36,6,58,0.9,76,33,1011.1,983.9,988.4,1015.4,985.8,1013.2
41030,Makkah,2018,1,20,23.6,33,18,N,1,2,6,48,0,68,27,1013.1,986,990.3,1017.7,988,1015
41030,Makkah,2018,1,21,26.1,36,18,SSW,2,19,12,41,0,64,22,1010.7,983.5,987.2,1014.6,985.6,1012.7
41030,Makkah,2018,1,22,25.2,32,20,S,3,21,12,60,1,81,46,1009.8,982.8,986.4,1013.1,984.3,1011.3
41030,Makkah,2018,1,23,26.2,33,22.6,NNE,2,30,8,62,2.3,89,37,1009,982.1,985.5,1012.4,983.8,1010.8
41030,Makkah,2018,1,24,25.4,32.6,19.8,WSW,2,24,10,47,0.8,58,33,1008.5,981.6,984.8,1011.7,983.3,1010.4
41030,Makkah,2018,1,25,24.1,30,21.4,NNW,1,33,6,56,3.5,68,43,1009.6,982.7,985.8,1012.9,984.2,1011.4
41030,Makkah,2018,1,26,23.1,30,20.2,N,1,36,6,52,3,68,32,1012,984.8,988.5,1015.5,986.5,1013.8
41030,Makkah,2018,1,27,21.2,29,17,N,2,36,6,48,1,67,25,1012.8,985.3,987.4,1017,987.3,1014.8
41030,Makkah,2018,1,28,23.6,34.2,17.4,NNE,2,2,8,39,2.9,51,24,1010.3,983.1,987,1014.5,985.5,1012.8
41030,Makkah,2018,1,29,25.4,33,18.5,SW,3,19,12,35,3.2,52,22,1009.9,982.7,986.1,1013,984.6,1011.6
41030,Makkah,2018,1,30,24.7,32.6,19,N,2,32,8,46,3.3,56,34,1010.7,983.5,987.1,1014.2,985.4,1012.5
41030,Makkah,2018,2,1,25.8,32.8,21.6,S,1,18,6,52,3.9,62,38,1012.2,984.8,988.5,1015.1,986.6,1013.7
41030,Makkah,2018,2,2,27,34.4,21.4,S,1,33,4,42,3,57,29,1011.8,984.8,987.7,1014.7,986.1,1013.1
41030,Makkah,2018,2,3,27.6,35.6,22.6,S,1,16,8,30,0.3,35,19,1012,985,988.6,1015,986.7,1013.8
41030,Makkah,2018,2,4,27,37,21.6,S,1,22,8,32,0,47,18,1012.6,985.2,989.5,1016.8,987.7,1014.7
